country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",11-04-2026 13:00,17.72,83.3,NO2,13.0,81.0,41.0
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",11-04-2026 13:00,17.72,83.3,NH3,3.0,4.0,3.0
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",11-04-2026 13:00,17.72,83.3,OZONE,4.0,23.0,12.0
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",11-04-2026 13:00,27.103358,93.679645,PM10,18.0,71.0,37.0
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",11-04-2026 13:00,27.103358,93.679645,NH3,1.0,1.0,1.0
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",11-04-2026 13:00,26.80365,84.51954,PM10,0.0,0.0,0.0
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",11-04-2026 13:00,25.251013,86.989001,NO2,8.0,12.0,11.0
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",11-04-2026 13:00,25.251013,86.989001,NH3,1.0,1.0,1.0
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",11-04-2026 13:00,25.265194,87.012947,NH3,5.0,8.0,6.0
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",11-04-2026 13:00,25.56752,83.966379,PM2.5,45.0,63.0,55.0
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",11-04-2026 13:00,25.56752,83.966379,PM10,41.0,61.0,51.0
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",11-04-2026 13:00,24.7955,84.9994,NO2,0.0,0.0,0.0
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",11-04-2026 13:00,24.7955,84.9994,OZONE,18.0,19.0,18.0
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",11-04-2026 13:00,24.792403,84.992416,PM2.5,27.0,153.0,69.0
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",11-04-2026 13:00,24.792403,84.992416,PM10,107.0,217.0,143.0
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",11-04-2026 13:00,24.792403,84.992416,OZONE,18.0,97.0,57.0
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",11-04-2026 13:00,24.762518,84.982348,NH3,2.0,5.0,3.0
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",11-04-2026 13:00,26.446912,91.439057,PM10,33.0,52.0,44.0
India,Assam,Silchar,"Tarapur, Silchar - PCBA",11-04-2026 13:00,24.82827,92.79525,PM10,50.0,68.0,60.0
India,Assam,Silchar,"Tarapur, Silchar - PCBA",11-04-2026 13:00,24.82827,92.79525,NH3,1.0,1.0,1.0
India,Assam,Silchar,"Tarapur, Silchar - PCBA",11-04-2026 13:00,24.82827,92.79525,SO2,5.0,8.0,6.0
